id,nome,disciplina,descricao,ordem,status
1,Bloco 1,Biologia,,1,em_andamento
2,Bloco 1,Filosofia/Sociologia,,1,em_andamento
3,Bloco 1,Física,,1,em_andamento
4,Bloco 1,Geografia,,1,em_andamento
5,Bloco 1,Gramática,,1,em_andamento
6,Bloco 1,História Geral,,1,em_andamento
7,Bloco 1,História do Brasil,,1,em_andamento
8,Bloco 1,Interpretação de texto,,1,em_andamento
9,Bloco 1,Literatura,,1,em_andamento
10,Bloco 1,Matemática,,1,em_andamento
11,Bloco 1,Química,,1,em_andamento
12,Bloco 2,Biologia,,2,em_andamento
13,Bloco 2,Filosofia/Sociologia,,2,em_andamento
14,Bloco 2,Física,,2,em_andamento
15,Bloco 2,Geografia,,2,em_andamento
16,Bloco 2,Gramática,,2,em_andamento
17,Bloco 2,História Geral,,2,em_andamento
18,Bloco 2,História do Brasil,,2,em_andamento
19,Bloco 2,Interpretação de texto,,2,em_andamento
20,Bloco 2,Matemática,,2,em_andamento
21,Bloco 2,Química,,2,em_andamento
22,Bloco 3,Biologia,,3,em_andamento
23,Bloco 3,Filosofia/Sociologia,,3,em_andamento
24,Bloco 3,Física,,3,em_andamento
25,Bloco 3,Geografia,,3,em_andamento
26,Bloco 3,História Geral,,3,em_andamento
27,Bloco 3,História do Brasil,,3,em_andamento
28,Bloco 3,Interpretação de texto,,3,em_andamento
29,Bloco 3,Literatura,,3,em_andamento
30,Bloco 3,Matemática,,3,em_andamento
31,Bloco 3,Química,,3,em_andamento
32,Bloco 4,Biologia,,4,em_andamento
33,Bloco 4,Filosofia/Sociologia,,4,em_andamento
34,Bloco 4,Física,,4,em_andamento
35,Bloco 4,Geografia,,4,em_andamento
36,Bloco 4,Gramática,,4,em_andamento
37,Bloco 4,História Geral,,4,em_andamento
38,Bloco 4,História do Brasil,,4,em_andamento
39,Bloco 4,Interpretação de texto,,4,em_andamento
40,Bloco 4,Literatura,,4,em_andamento
41,Bloco 4,Matemática,,4,em_andamento
42,Bloco 4,Química,,4,em_andamento
43,Bloco 5,Biologia,,5,em_andamento
44,Bloco 5,Filosofia/Sociologia,,5,em_andamento
45,Bloco 5,Física,,5,em_andamento
46,Bloco 5,Geografia,,5,em_andamento
47,Bloco 5,História do Brasil,,5,em_andamento
48,Bloco 5,Matemática,,5,em_andamento
49,Bloco 5,Química,,5,em_andamento
50,Bloco 6,Biologia,,6,em_andamento
51,Bloco 6,Filosofia/Sociologia,,6,em_andamento
52,Bloco 6,Física,,6,em_andamento
53,Bloco 6,Geografia,,6,em_andamento
54,Bloco 6,Gramática,,6,em_andamento
55,Bloco 6,História Geral,,6,em_andamento
56,Bloco 6,História do Brasil,,6,em_andamento
57,Bloco 6,Interpretação de texto,,6,em_andamento
58,Bloco 6,Literatura,,6,em_andamento
59,Bloco 6,Matemática,,6,em_andamento
60,Bloco 6,Química,,6,em_andamento
61,Bloco 7,Biologia,,7,em_andamento
62,Bloco 7,Filosofia/Sociologia,,7,em_andamento
63,Bloco 7,Física,,7,em_andamento
64,Bloco 7,Geografia,,7,em_andamento
65,Bloco 7,História Geral,,7,em_andamento
66,Bloco 7,História do Brasil,,7,em_andamento
67,Bloco 7,Interpretação de texto,,7,em_andamento
68,Bloco 7,Matemática,,7,em_andamento
69,Bloco 7,Química,,7,em_andamento
70,Bloco 8,Biologia,,8,em_andamento
71,Bloco 8,Filosofia/Sociologia,,8,em_andamento
72,Bloco 8,Física,,8,em_andamento
73,Bloco 8,Geografia,,8,em_andamento
74,Bloco 8,Gramática,,8,em_andamento
75,Bloco 8,História do Brasil,,8,em_andamento
76,Bloco 8,Interpretação de texto,,8,em_andamento
77,Bloco 8,Literatura,,8,em_andamento
78,Bloco 8,Matemática,,8,em_andamento
79,Bloco 8,Química,,8,em_andamento
80,Bloco 9,Biologia,,9,em_andamento
81,Bloco 9,Filosofia/Sociologia,,9,em_andamento
82,Bloco 9,Física,,9,em_andamento
83,Bloco 9,Geografia,,9,em_andamento
84,Bloco 9,História Geral,,9,em_andamento
85,Bloco 9,História do Brasil,,9,em_andamento
86,Bloco 9,Literatura,,9,em_andamento
87,Bloco 9,Matemática,,9,em_andamento
88,Bloco 9,Química,,9,em_andamento
89,Bloco 10,Biologia,,10,em_andamento
90,Bloco 10,Filosofia/Sociologia,,10,em_andamento
91,Bloco 10,Física,,10,em_andamento
92,Bloco 10,Geografia,,10,em_andamento
93,Bloco 10,Gramática,,10,em_andamento
94,Bloco 10,História Geral,,10,em_andamento
95,Bloco 10,História do Brasil,,10,em_andamento
96,Bloco 10,Interpretação de texto,,10,em_andamento
97,Bloco 10,Matemática,,10,em_andamento
98,Bloco 10,Química,,10,em_andamento
99,Bloco 11,Biologia,,11,em_andamento
100,Bloco 11,Filosofia/Sociologia,,11,em_andamento
101,Bloco 11,Física,,11,em_andamento
102,Bloco 11,Geografia,,11,em_andamento
103,Bloco 11,História Geral,,11,em_andamento
104,Bloco 11,História do Brasil,,11,em_andamento
105,Bloco 11,Interpretação de texto,,11,em_andamento
106,Bloco 11,Literatura,,11,em_andamento
107,Bloco 11,Matemática,,11,em_andamento
108,Bloco 11,Química,,11,em_andamento
109,Bloco 12,Biologia,,12,em_andamento
110,Bloco 12,Filosofia/Sociologia,,12,em_andamento
111,Bloco 12,Física,,12,em_andamento
112,Bloco 12,Geografia,,12,em_andamento
113,Bloco 12,Gramática,,12,em_andamento
114,Bloco 12,História Geral,,12,em_andamento
115,Bloco 12,História do Brasil,,12,em_andamento
116,Bloco 12,Matemática,,12,em_andamento
117,Bloco 12,Química,,12,em_andamento
118,Bloco 13,Biologia,,13,em_andamento
119,Bloco 13,Filosofia/Sociologia,,13,em_andamento
120,Bloco 13,Física,,13,em_andamento
121,Bloco 13,Geografia,,13,em_andamento
122,Bloco 13,História Geral,,13,em_andamento
123,Bloco 13,História do Brasil,,13,em_andamento
124,Bloco 13,Interpretação de texto,,13,em_andamento
125,Bloco 13,Literatura,,13,em_andamento
126,Bloco 13,Matemática,,13,em_andamento
127,Bloco 13,Química,,13,em_andamento
128,Bloco 14,Biologia,,14,em_andamento
129,Bloco 14,Filosofia/Sociologia,,14,em_andamento
130,Bloco 14,Física,,14,em_andamento
131,Bloco 14,Geografia,,14,em_andamento
132,Bloco 14,Gramática,,14,em_andamento
133,Bloco 14,História Geral,,14,em_andamento
134,Bloco 14,História do Brasil,,14,em_andamento
135,Bloco 14,Interpretação de texto,,14,em_andamento
136,Bloco 14,Matemática,,14,em_andamento
137,Bloco 14,Química,,14,em_andamento
138,Bloco 15,Biologia,,15,em_andamento
139,Bloco 15,Filosofia/Sociologia,,15,em_andamento
140,Bloco 15,Física,,15,em_andamento
141,Bloco 15,Geografia,,15,em_andamento
142,Bloco 15,História Geral,,15,em_andamento
143,Bloco 15,História do Brasil,,15,em_andamento
144,Bloco 15,Literatura,,15,em_andamento
145,Bloco 15,Matemática,,15,em_andamento
146,Bloco 15,Química,,15,em_andamento
147,Bloco 16,Biologia,,16,em_andamento
148,Bloco 16,Filosofia/Sociologia,,16,em_andamento
149,Bloco 16,Física,,16,em_andamento
150,Bloco 16,Geografia,,16,em_andamento
151,Bloco 16,Gramática,,16,em_andamento
152,Bloco 16,História Geral,,16,em_andamento
153,Bloco 16,História do Brasil,,16,em_andamento
154,Bloco 16,Interpretação de texto,,16,em_andamento
155,Bloco 16,Literatura,,16,em_andamento
156,Bloco 16,Matemática,,16,em_andamento
157,Bloco 16,Química,,16,em_andamento
158,Bloco 17,Biologia,,17,em_andamento
159,Bloco 17,Filosofia/Sociologia,,17,em_andamento
160,Bloco 17,Física,,17,em_andamento
161,Bloco 17,Geografia,,17,em_andamento
162,Bloco 17,História Geral,,17,em_andamento
163,Bloco 17,História do Brasil,,17,em_andamento
164,Bloco 17,Literatura,,17,em_andamento
165,Bloco 17,Matemática,,17,em_andamento
166,Bloco 17,Química,,17,em_andamento
167,Bloco 18,Biologia,,18,em_andamento
168,Bloco 18,Filosofia/Sociologia,,18,em_andamento
169,Bloco 18,Física,,18,em_andamento
170,Bloco 18,Geografia,,18,em_andamento
171,Bloco 18,Gramática,,18,em_andamento
172,Bloco 18,História Geral,,18,em_andamento
173,Bloco 18,História do Brasil,,18,em_andamento
174,Bloco 18,Literatura,,18,em_andamento
175,Bloco 18,Matemática,,18,em_andamento
176,Bloco 18,Química,,18,em_andamento
177,Bloco 19,Biologia,,19,em_andamento
178,Bloco 19,Filosofia/Sociologia,,19,em_andamento
179,Bloco 19,Física,,19,em_andamento
180,Bloco 19,Geografia,,19,em_andamento
181,Bloco 19,História Geral,,19,em_andamento
182,Bloco 19,História do Brasil,,19,em_andamento
183,Bloco 19,Interpretação de texto,,19,em_andamento
184,Bloco 19,Literatura,,19,em_andamento
185,Bloco 19,Matemática,,19,em_andamento
186,Bloco 19,Química,,19,em_andamento
187,Bloco 20,Biologia,,20,em_andamento
188,Bloco 20,Filosofia/Sociologia,,20,em_andamento
189,Bloco 20,Física,,20,em_andamento
190,Bloco 20,Geografia,,20,em_andamento
191,Bloco 20,Gramática,,20,em_andamento
192,Bloco 20,História Geral,,20,em_andamento
193,Bloco 20,História do Brasil,,20,em_andamento
194,Bloco 20,Literatura,,20,em_andamento
195,Bloco 20,Matemática,,20,em_andamento
196,Bloco 20,Química,,20,em_andamento
197,Bloco 21,Biologia,,21,em_andamento
198,Bloco 21,Filosofia/Sociologia,,21,em_andamento
199,Bloco 21,Física,,21,em_andamento
200,Bloco 21,Geografia,,21,em_andamento
201,Bloco 21,História Geral,,21,em_andamento
202,Bloco 21,História do Brasil,,21,em_andamento
203,Bloco 21,Interpretação de texto,,21,em_andamento
204,Bloco 21,Literatura,,21,em_andamento
205,Bloco 21,Matemática,,21,em_andamento
206,Bloco 21,Química,,21,em_andamento
207,Bloco 22,Biologia,,22,em_andamento
208,Bloco 22,Filosofia/Sociologia,,22,em_andamento
209,Bloco 22,Física,,22,em_andamento
210,Bloco 22,Geografia,,22,em_andamento
211,Bloco 22,Gramática,,22,em_andamento
212,Bloco 22,História Geral,,22,em_andamento
213,Bloco 22,História do Brasil,,22,em_andamento
214,Bloco 22,Literatura,,22,em_andamento
215,Bloco 22,Matemática,,22,em_andamento
216,Bloco 22,Química,,22,em_andamento
217,Bloco 23,Biologia,,23,em_andamento
218,Bloco 23,Filosofia/Sociologia,,23,em_andamento
219,Bloco 23,Física,,23,em_andamento
220,Bloco 23,Geografia,,23,em_andamento
221,Bloco 23,História Geral,,23,em_andamento
222,Bloco 23,História do Brasil,,23,em_andamento
223,Bloco 23,Interpretação de texto,,23,em_andamento
224,Bloco 23,Literatura,,23,em_andamento
225,Bloco 23,Matemática,,23,em_andamento
226,Bloco 23,Química,,23,em_andamento
227,Bloco 24,Biologia,,24,em_andamento
228,Bloco 24,Filosofia/Sociologia,,24,em_andamento
229,Bloco 24,Física,,24,em_andamento
230,Bloco 24,Geografia,,24,em_andamento
231,Bloco 24,Gramática,,24,em_andamento
232,Bloco 24,História Geral,,24,em_andamento
233,Bloco 24,História do Brasil,,24,em_andamento
234,Bloco 24,Interpretação de texto,,24,em_andamento
235,Bloco 24,Literatura,,24,em_andamento
236,Bloco 24,Matemática,,24,em_andamento
237,Bloco 24,Química,,24,em_andamento
238,Bloco 25,Biologia,,25,em_andamento
239,Bloco 25,Filosofia/Sociologia,,25,em_andamento
240,Bloco 25,Física,,25,em_andamento
241,Bloco 25,Geografia,,25,em_andamento
242,Bloco 25,Gramática,,25,em_andamento
243,Bloco 25,História Geral,,25,em_andamento
244,Bloco 25,História do Brasil,,25,em_andamento
245,Bloco 25,Interpretação de texto,,25,em_andamento
246,Bloco 25,Literatura,,25,em_andamento
247,Bloco 25,Matemática,,25,em_andamento
248,Bloco 25,Química,,25,em_andamento
249,Bloco 26,Biologia,,26,em_andamento
250,Bloco 26,Filosofia/Sociologia,,26,em_andamento
251,Bloco 26,Física,,26,em_andamento
252,Bloco 26,Geografia,,26,em_andamento
253,Bloco 26,Gramática,,26,em_andamento
254,Bloco 26,História Geral,,26,em_andamento
255,Bloco 26,História do Brasil,,26,em_andamento
256,Bloco 26,Literatura,,26,em_andamento
257,Bloco 26,Matemática,,26,em_andamento
258,Bloco 26,Química,,26,em_andamento
